date,region,product,units,unit_price
2025-10-01,South,Widget A,10,9.5
2025-10-02,North,Widget A,19,9.5
2025-10-03,West,Widget A,2,9.5
2025-10-10,East,Service D,3,20.0
2025-10-11,North,Widget B,16,12.0
2025-10-13,West,Widget A,21,9.5
2025-10-14,South,Gadget C,23,15.5
2025-10-16,North,Widget A,17,9.5
2025-10-17,West,Widget B,21,12.0
2025-11-08,East,Widget A,2,9.5
2025-11-09,West,Widget B,6,12.0
2025-11-12,West,Service D,24,20.0
2025-11-15,South,Widget A,7,9.5
2025-11-21,North,Widget A,9,9.5
2025-11-24,South,Widget B,1,12.0
2025-11-24,South,Widget A,3,9.5
2025-11-28,East,Widget A,13,9.5
2025-11-28,South,Service D,8,20.0
2025-12-01,South,Widget A,16,9.5
2025-12-06,West,Widget A,3,9.5
2025-12-07,North,Widget B,20,12.0
2025-12-08,West,Widget A,3,9.5
2025-12-12,South,Widget A,20,9.5
2025-12-14,East,Widget A,22,9.5
2025-12-17,West,Widget A,22,9.5
2025-12-17,East,Widget A,14,9.5
2025-12-25,South,Gadget C,21,15.5
2025-12-25,West,Gadget C,10,15.5
2025-12-28,South,Widget A,23,9.5
2025-12-28,South,Gadget C,23,15.5
