date,region,product,units,unit_price
2025-01-08,West,Widget A,2,9.5
2025-01-09,South,Gadget C,11,15.5
2025-01-09,East,Gadget C,16,15.5
2025-01-12,West,Widget A,1,9.5
2025-01-17,South,Gadget C,7,15.5
2025-01-19,South,Widget A,14,9.5
2025-02-03,North,Widget A,6,9.5
2025-02-06,East,Widget B,1,12.0
2025-02-08,West,Widget B,21,12.0
2025-02-09,East,Widget A,2,9.5
2025-02-09,East,Widget B,12,12.0
2025-02-10,West,Widget A,11,9.5
2025-02-15,West,Widget A,24,9.5
2025-02-16,South,Widget B,15,12.0
2025-02-17,North,Widget B,14,12.0
2025-02-19,East,Widget A,20,9.5
2025-02-27,North,Gadget C,21,15.5
2025-02-28,North,Widget A,16,9.5
2025-03-04,West,Widget B,19,12.0
2025-03-06,North,Gadget C,20,15.5
2025-03-08,East,Gadget C,3,15.5
2025-03-10,South,Widget A,14,9.5
2025-03-11,North,Service D,17,20.0
2025-03-12,West,Gadget C,8,15.5
2025-03-12,South,Gadget C,24,15.5
2025-03-16,North,Widget B,6,12.0
2025-03-17,East,Gadget C,9,15.5
2025-03-19,North,Widget A,14,9.5
2025-03-25,South,Gadget C,10,15.5
2025-03-29,West,Gadget C,14,15.5
